date,day,cases
01/05/2018,-14,19
02/05/2018,-13,24
03/05/2018,-12,24
04/05/2018,-11,26
05/05/2018,-10,26
06/05/2018,-9,26
07/05/2018,-8,26
08/05/2018,-7,26
09/05/2018,-6,26
10/05/2018,-5,26
11/05/2018,-4,29
12/05/2018,-3,33
13/05/2018,-2,38
14/05/2018,-1,46
15/05/2018,0,55
16/05/2018,1,59
17/05/2018,2,60
18/05/2018,3,61
19/05/2018,4,61
20/05/2018,5,62
21/05/2018,6,62
22/05/2018,7,62
23/05/2018,8,63
24/05/2018,9,64
25/05/2018,10,66
26/05/2018,11,69
27/05/2018,12,79
28/05/2018,13,83
29/05/2018,14,87
30/05/2018,15,95
31/05/2018,16,98
01/06/2018,17,100
02/06/2018,18,100
03/06/2018,19,100
04/06/2018,20,166.0335097
05/06/2018,21,177.4323898
06/06/2018,22,189.6138497
07/06/2018,23,202.6316166
08/06/2018,24,216.5431065
09/06/2018,25,231.4096772
10/06/2018,26,247.2968987
11/06/2018,27,264.2748431
12/06/2018,28,282.4183928
13/06/2018,29,301.8075715
14/06/2018,30,322.5278967
15/06/2018,31,344.670757
16/06/2018,32,368.3338153
17/06/2018,33,393.6214395
18/06/2018,34,420.6451625
19/06/2018,35,449.5241748
20/06/2018,36,480.3858494
21/06/2018,37,513.3663043
22/06/2018,38,548.6110025
23/06/2018,39,586.2753935
24/06/2018,40,626.5255991
25/06/2018,41,669.539146
26/06/2018,42,715.505749
27/06/2018,43,764.6281475
28/06/2018,44,817.1229997
29/06/2018,45,873.2218383
30/06/2018,46,933.1720919