"","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)"
"Country"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2002"," 2001"," 2000"
"Afghanistan","","4","4","","","","","","","",""
"Albania","","","28","","29","","","","","",""
"Algeria","","","","","","","","17","","",""
"Andorra","","","25","","26","","","","","",""
"Angola","","","","","","","8","","","",""
"Antigua and Barbuda","","22","22","","","","","","","",""
"Argentina","","45","","","","","","","","","41"
"Armenia","","","37","","41","","","","","",""
"Australia","","","38","","","","","","","",""
"Austria","","","77","77","","","","","","",""
"Azerbaijan","","","75","","79","","","","","",""
"Bahamas","","","31","31","","","","","","",""
"Bahrain","","","18","19","","","","","","",""
"Bangladesh","","","","","","","3","","","",""
"Barbados","","","68","76","","","","","","",""
"Belarus","","","111","","112","","","","","",""
"Belgium","","65","66","","","","","","","",""
"Belize","","12","11","","","","","","","",""
"Benin","","5","","","","","5","","","",""
"Bhutan","18","","","","","17","","","","",""
"Bolivia (Plurinational State of)","","","11","","","","","","","",""
"Bosnia and Herzegovina","","","34","","","","30","","","",""
"Botswana","","18","","18","","","","","","",""
"Brazil","","24","24","","","","","","","",""
"Brunei Darussalam","","","26","27","","","","","","",""
"Bulgaria","","","66","65","","","","","","",""
"Burkina Faso","","4","","","","9","","","","",""
"Burundi","19","","","","","7","","","","",""
"C̫te d'Ivoire","","","","","","4","","","","",""
"Cabo Verde","","21","","21","","","","","","",""
"Cameroon","","13","","","","15","","","","",""
"Canada","","","32","34","","","","","","",""
"Central African Republic","10","","","","","12","","","","",""
"Chad","","","","","","","4","","","",""
"Chile","","21","21","","","","","","","",""
"China","","","42","","","","","","","",""
"Colombia","","","","","10","","","","","",""
"Comoros","","","","","","22","","","","",""
"Congo","","","","","","","16","","","",""
"Cook Islands","","","","","","","63","","","",""
"Costa Rica","","12","","12","","","","","","",""
"Croatia","","","54","","55","","","","","",""
"Cuba","","59","59","","","","","","","",""
"Cyprus","","","","38","","37","","","","",""
"Czechia","","","71","72","","","","","","",""
"Democratic People's Republic of Korea","","","","","","","","","132","",""
"Democratic Republic of the Congo","","","","","","8","","","","",""
"Denmark","","","35","36","","","","","","",""
"Djibouti","","14","","","","","","","","",""
"Dominica","","38","38","","","","","","","",""
"Dominican Republic","","16","10","","","","","","","",""
"Ecuador","","","15","15","","","","","","",""
"Egypt","","17","17","","","","","","","",""
"El Salvador","","10","11","","","","","","","",""
"Equatorial Guinea","","21","19","","","","","","","",""
"Eritrea","7","","","","","12","","","","",""
"Estonia","","","54","57","","","","","","",""
"Ethiopia","63","","","2","","","","","","",""
"Fiji","","","21","21","","","","","","",""
"Finland","","","62","65","","","","","","",""
"France","","","69","71","","","","","","",""
"Gabon","","63","","13","","","","","","",""
"Gambia","11","","11","","","","","","","",""
"Georgia","","","31","","33","","","","","",""
"Germany","","","82","82","","","","","","",""
"Ghana","9","","9","","","","","","","",""
"Greece","","","48","48","","","","","","",""
"Grenada","","","24","","","","","","","",""
"Guatemala","","6","6","","","","","","","",""
"Guinea","3","","","","","","3","","","",""
"Guinea-Bissau","","","10","","","","","","","",""
"Guyana","","","20","","19","","","","","",""
"Haiti","","","","","13","","","","","",""
"Honduras","","8","8","","","","","","","",""
"Hungary","","","71","70","","","","","","",""
"Iceland","","","","","58","","","","","",""
"India","","","","","","","9","","","",""
"Indonesia","","6","","","","","","","6","",""
"Iran (Islamic Republic of)","","","17","","","14","","","","",""
"Iraq","","13","13","","","","","","","",""
"Ireland","","","","49","52","","","","","",""
"Israel","","35","","","58","","","","","",""
"Italy","","","36","37","","","","","","",""
"Jamaica","","19","17","","","","","","","",""
"Japan","","","137","138","","","","","","",""
"Jordan","","18","18","","","","","","","",""
"Kazakhstan","","","76","","77","","","","","",""
"Kenya","","14","","","","","","14","","",""
"Kiribati","","14","15","","","","","","","",""
"Kuwait","","","20","18","","","","","","",""
"Kyrgyzstan","","","","","51","","","","","",""
"Lao People's Democratic Republic","","7","","","","","12","","","",""
"Latvia","","","64","","","","","","","",""
"Lebanon","","","35","","","","","","","",""
"Lesotho","","","","","","13","","","","",""
"Liberia","","8","7","","","","","","","",""
"Libya","","","37","","","","","","","",""
"Lithuania","","","68","68","","","","","","",""
"Luxembourg","","","56","56","","","","","","",""
"Madagascar","","2","","","","","3","","","",""
"Malawi","13","","","","11","","","","","",""
"Malaysia","","18","18","","","","","","","",""
"Maldives","","","43","","","","26","","","",""
"Mali","","1","","6","","","","","","",""
"Malta","","45","49","","","","","","","",""
"Marshall Islands","","27","27","","","","","","","",""
"Mauritania","","","","","","4","","","","",""
"Mauritius","34","","","33","","","","","","",""
"Mexico","","","16","16","","","","","","",""
"Micronesia (Federated States of)","","","32","","","","","","","",""
"Mongolia","","58","59","","","","","","","",""
"Montenegro","","","39","","40","","","","","",""
"Morocco","","","11","","","","","","","",""
"Mozambique","7","","","","8","","","","","",""
"Myanmar","","","","","","6","","","","",""
"Namibia","","","27","","","","","","","",""
"Nauru","","50","","","35","","","","","",""
"Nepal","","","","","","50","","","","",""
"Netherlands","","","47","43","","","","","","",""
"New Zealand","23","","","","","","","","62","",""
"Nicaragua","","8","","9","","","","","","",""
"Niger","","","","","","","3","","","",""
"Nigeria","","","","","","","","5","","",""
"Niue","","","","","","52","","","","",""
"Norway","","","33","35","","","","","","",""
"Oman","","","18","19","","","","","","",""
"Pakistan","","6","6","","","","","","","",""
"Palau","","48","49","","","","","","","",""
"Panama","","","22","","","","","","","",""
"Paraguay","","13","13","","","","","","","",""
"Peru","","15","15","","","","","","","",""
"Philippines","","","5","","","5","","","","",""
"Poland","","","67","66","","","","","","",""
"Portugal","","","33","34","","","","","","",""
"Qatar","","","12","14","","","","","","",""
"Republic of Korea","","","103","123","","","","","","",""
"Republic of Moldova","","","62","","61","","","","","",""
"Romania","","","66","","","65","","","","",""
"Russian Federation","","","","","","97","","","","",""
"Rwanda","","","","","","16","","","","",""
"Saint Kitts and Nevis","","48","60","","","","","","","",""
"Saint Lucia","","","15","","","","","","","",""
"Saint Vincent and the Grenadines","","26","","","30","","","","","",""
"Samoa","","","","","","","10","","","",""
"Sao Tome and Principe","29","","","","","32","","","","",""
"Saudi Arabia","","","22","22","","","","","","",""
"Senegal","","","","3","","","","","","",""
"Serbia","","","54","","54","","","","","",""
"Seychelles","36","","39","","","","","","","",""
"Sierra Leone","","","","","","4","","","","",""
"Singapore","","","","31","","","","","","",""
"Slovakia","","","65","66","","","","","","",""
"Slovenia","","","46","47","","","","","","",""
"South Africa","","","","","","","28","","","",""
"Spain","","","32","32","","","","","","",""
"Sri Lanka","","","","","","","","31","","",""
"Sudan","","","7","7","","","","","","",""
"Suriname","","","26","","31","","","","","",""
"Swaziland","21","","","","","21","","","","",""
"Sweden","","","28","","","","","","","",""
"Switzerland","","","52","53","","","","","","",""
"Syrian Arab Republic","","15","15","","","","","","","",""
"Tajikistan","","","52","","","61","","","","",""
"Thailand","","21","","","","","","","22","",""
"The former Yugoslav republic of Macedonia","","","45","","","46","","","","",""
"Timor-Leste","","59","","","","","","","","",""
"Togo","7","","","","","","9","","","",""
"Tonga","","26","","24","","","","","","",""
"Trinidad and Tobago","","","26","25","","","","","","",""
"Tunisia","","21","21","","","","","","","",""
"Turkey","","","25","24","","","","","","",""
"Turkmenistan","","","40","","41","","","","","",""
"Tuvalu","","","","","","","","","","56",""
"Uganda","","5","4","","","","","","","",""
"Ukraine","","","87","","","87","","","","",""
"United Arab Emirates","","","","19","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","","","33","34","","","","","","",""
"United Republic of Tanzania","","7","","","","11","","","","",""
"United States of America","","","30","31","","","","","","",""
"Uruguay","","12","","","29","","","","","",""
"Uzbekistan","","","46","","48","","","","","",""
"Vanuatu","","","","17","","","","","","",""
"Venezuela (Bolivarian Republic of)","","","11","","13","","","","","",""
"Viet Nam","","","31","29","","","","","","",""
"Yemen","","7","7","","","","","","","",""
"Zambia","","20","","19","","","","","","",""
"Zimbabwe","17","","","","","30","","","","",""
