"Country","Year","Physicians density (per 1000 population)","Nursing and midwifery personnel density (per 1000 population)","Dentistry personnel density (per 1000 population)","Pharmaceutical personnel density (per 1000 population)","Laboratory health workers density (per 1000 population)","Environmental and public health workers density (per 1000 population)","Community and traditional health workers density (per 1000 population)","Other health workers density (per 1000 population)","Health management &amp; support workers density (per 1000 population)"
"Sierra Leone"," 2008","0.017","0.179","0.004","0.035","0.009","0.024","0.024","0.004","0.004"
"Sierra Leone"," 2004","0.034","0.515","0.001","0.07","","0.028","0.115","0.001",""
"Singapore"," 2013","1.913","5.649","0.398","0.404","","","","0.864",""
"Singapore"," 2012","1.82","5.55","0.356","0.374","","","","0.865",""
"Singapore"," 2011","1.747","5.194","0.342","0.388","","","","",""
"Singapore"," 2010","1.736","5.777","0.297","0.357","","","","0.476",""
"Singapore"," 2009","1.676","5.396","0.295","0.334","","","","",""
"Singapore"," 2008","1.617","4.992","0.292","0.319","","","","",""
"Singapore"," 2007","1.56","4.719","0.286","0.313","","","","",""
"Singapore"," 2006","1.502","4.535","0.287","0.308","","","","",""
"Singapore"," 2005","1.501","4.486","0.284","0.296","","","","",""
"Singapore"," 2004","1.484","4.418","0.28","0.294","","","","",""
"Singapore"," 2003","1.5","","0.28","0.301","","","","",""
"Singapore"," 2001","1.428","4.324","0.27","0.284","","","","",""
"Singapore"," 1999","1.393","4.172","0.246","0.273","","","","",""
"Slovakia"," 2014","","6.078","","","","","","1.245",""
"Slovakia"," 2013","3.387","6.071","0.697","0.996","0.704","","0.018","2.644",""
"Slovakia"," 2012","","","","","","","","1.295",""
"Slovakia"," 2011","","","","","","","","1.474",""
"Slovakia"," 2010","","","","","","","","1.504",""
"Slovakia"," 2009","3.295","6.382","0.487","0.54","","","","2.262",""
"Slovakia"," 2007","3.005","","","","","","","",""
"Slovenia"," 2014","2.765","8.611","0.661","0.602","","","","2.472",""
"Slovenia"," 2013","2.623","","0.648","0.576","","","","2.551",""
"Slovenia"," 2012","2.534","","0.628","0.562","","","","2.324",""
"Slovenia"," 2011","2.487","","0.622","0.549","","","","2.032",""
"Slovenia"," 2010","2.426","","0.613","0.537","","","","2.014",""
"Solomon Islands"," 2011","0.203","","","","","","","",""
"Solomon Islands"," 2009","0.229","2.098","","","","","","",""
"Solomon Islands"," 2005","0.19","1.479","0.111","0.113","","","","",""
"Solomon Islands"," 2003","0.134","1.411","","","","","","",""
"Solomon Islands"," 1999","0.135","0.9","0.065","0.07","","","","",""
"Somalia"," 2014","0.029","0.078","","","","","","",""
"Somalia"," 2006","0.035","0.111","","0.006","","","","",""
"Somalia"," 2005","","","","","0.022","0.005","","0.062","0.009"
"South Africa"," 2015","0.767","5.113","0.198","0.629","0.179","0.065","","2.171",""
"South Africa"," 2014","0.756","5.011","0.195","0.602","0.174","0.064","","2.132",""
"South Africa"," 2013","0.742","4.88","0.195","","0.166","0.062","","2.063",""
"South Africa"," 2012","0.725","4.708","0.183","0.397","0.159","0.062","","1.987",""
"South Africa"," 2011","0.715","4.56","0.176","0.357","0.152","0.056","","1.912",""
"South Africa"," 2010","0.728","4.477","0.171","","0.146","0.054","","1.787",""
"South Africa"," 2009","","4.35","","","","","","",""
"South Africa"," 2008","","4.227","","","","","","",""
"South Africa"," 2007","","4.104","","","","","","",""
"South Africa"," 2006","","4.016","","","","","","",""
"South Africa"," 2005","","3.956","","","","","","",""
"South Africa"," 2004","0.731","3.87","0.126","0.263","0.042","0.053","0.192","0.957","0.48"
"South Africa"," 2003","","3.784","","","","","","",""
"South Africa"," 2002","","3.736","","","","","","",""
"South Africa"," 2001","","3.781","","","","","","",""
"South Africa"," 2000","","3.823","","","","","","",""
"South Africa"," 1999","","3.909","","","","","","",""
"South Africa"," 1998","","3.985","","","","","","",""
"Spain"," 2014","3.819","5.358","0.72","1.18","","","","10.139",""
"Spain"," 2013","3.824","","0.698","1.122","","","","10.382",""
"Spain"," 2012","3.835","","0.669","1.055","","","","10.693",""
"Spain"," 2011","3.838","","0.622","0.937","","","","10.812",""
"Spain"," 2010","3.756","","0.597","0.923","","","","10.461",""
"Spain"," 2009","4.731","5.518","0.577","1.369","","","","0.833",""
"Spain"," 2008","4.67","5.457","0.561","1.364","","","","0.793",""
"Spain"," 2007","4.603","5.375","0.542","1.366","","","","0.744",""
"Spain"," 2006","4.56","5.322","0.523","1.369","","","","0.694",""
"Spain"," 2005","4.541","5.267","0.505","1.357","","","","0.095",""
"Spain"," 2004","4.51","5.224","0.488","1.345","","","","0.086",""
"Spain"," 2003","4.489","5.198","0.471","1.33","","","","0.079",""
"Spain"," 2002","4.446","5.103","0.461","1.308","","","","",""
"Spain"," 2001","4.376","5.058","0.449","1.277","","","","",""
"Spain"," 2000","4.393","5.018","0.43","1.246","","","","",""
"Spain"," 1999","4.33","4.886","0.418","1.206","","","","",""
"Spain"," 1998","4.271","4.797","0.402","1.165","","","","",""
"Spain"," 1997","4.206","4.547","0.382","1.125","","","","",""
"Spain"," 1996","4.152","4.439","0.373","1.084","","","","",""
"Spain"," 1995","4.09","4.329","0.352","1.041","","","","",""
"Spain"," 1994","4.089","4.237","0.334","1.017","","","","",""
"Spain"," 1993","4.031","4.248","0.31","1.002","","","","",""
"Spain"," 1992","3.962","4.185","0.3","0.983","","","","",""
"Spain"," 1991","3.902","4.105","0.286","0.958","","","","",""
"Spain"," 1990","3.795","4.044","0.264","0.934","","","","",""
"Sri Lanka"," 2012","","","0.06","0.037","0.144","0.069","","2.392",""
"Sri Lanka"," 2010","0.726","1.751","0.052","","","0.069","","0.055",""
"Sri Lanka"," 2009","0.684","1.559","0.043","","","0.073","","0.052",""
"Sri Lanka"," 2008","0.626","1.507","0.066","","","0.074","","0.057",""
"Sri Lanka"," 2007","0.556","2.053","0.088","0.045","0.08","0.122","","1.892",""
"Sri Lanka"," 2006","0.523","1.674","0.06","","","0.078","","0.06",""
"Sri Lanka"," 2005","0.522","1.409","0.049","","","0.077","","0.065",""
"Sri Lanka"," 2004","0.541","1.715","0.064","0.051","0.065","0.08","","0.08","0.006"
"Sri Lanka"," 2002","","1.062","0.039","","","0.074","","0.07",""
"Sri Lanka"," 2001","0.443","0.835","","","","0.06","","0.071",""
"Sri Lanka"," 2000","0.424","1.191","0.034","","","","","0.072",""
"Sri Lanka"," 1999","0.375","0.753","0.028","","","0.048","","0.072",""
"Sri Lanka"," 1998","0.346","0.787","0.026","","","0.049","","0.071",""
"Sri Lanka"," 1997","0.305","0.748","0.025","","","0.05","","0.075",""
"Sri Lanka"," 1996","0.278","0.758","0.023","","","0.051","","0.076",""
"Sri Lanka"," 1995","0.222","1.085","0.021","","","0.051","","0.074",""
"Sri Lanka"," 1994","0.185","0.965","","","","0.047","","0.072",""
"Sri Lanka"," 1993","0.207","1.03","0.022","0.032","0.046","0.049","","0.124",""
"Sri Lanka"," 1992","0.165","0.868","0.02","","","0.052","","0.068",""
"Sri Lanka"," 1991","0.139","0.801","0.018","","","0.051","","0.061",""
"Sri Lanka"," 1990","","0.737","0.02","","","0.056","","0.063",""
"Sudan"," 2014","3.058","1.157","0.195","0.487","","","","",""
"Sudan"," 2008","0.314","0.941","0.022","0.011","","","","",""
"Sudan"," 2007","0.337","0.966","0.022","0.011","","","","",""
"Sudan"," 2006","0.338","1.017","0.029","0.047","","0.088","","0.662","0.785"
"Sudan"," 2004","0.242","1.01","0.035","0.114","0.1","0.093","0.186","0.278","1.135"
"Suriname"," 2004","0.817","5.273","0.086","","","","","",""
"Suriname"," 2000","0.397","1.431","0.008","","","","","",""
"Swaziland"," 2009","0.147","1.386","0.05","0.043","0.049","0.099","","1.119","0.216"
"Swaziland"," 2004","0.156","6.237","0.029","0.064","0.07","0.1","4.293","0.563","0.283"
"Swaziland"," 2003","0.147","","","","","","","",""
"Swaziland"," 2001","0.167","","","","","","","",""
"Swaziland"," 2000","0.002","3.145","0.019","0.043","0.02","0.023","","0.077",""
"Sweden"," 2013","4.107","11.892","0.805","0.755","","","","1.301",""
"Sweden"," 2012","4.033","","0.81","0.767","","","","1.29",""
"Sweden"," 2011","3.96","","0.809","0.769","","","","1.275",""
"Sweden"," 2010","3.89","","0.804","0.76","","","","1.271",""
"Sweden"," 2007","3.244","10.977","0.824","","","","","1.193",""
"Switzerland"," 2014","4.114","17.813","0.514","0.544","","","","7.205",""
"Switzerland"," 2013","4.025","","0.518","0.539","","","","7.163",""
"Switzerland"," 2012","3.903","","0.521","0.542","","","","7.177",""
"Switzerland"," 2011","3.826","","0.52","0.531","","","","6.987",""
"Switzerland"," 2010","3.806","","0.525","0.54","","","","6.937",""
"Syrian Arab Republic"," 2014","1.546","2.302","0.883","1.476","","","","",""
"Syrian Arab Republic"," 2010","1.505","1.933","0.771","0.799","","","","",""
"Syrian Arab Republic"," 2009","1.455","1.9","0.768","0.834","","","","",""
"Syrian Arab Republic"," 2008","1.528","1.894","0.805","0.825","","","","",""
"Syrian Arab Republic"," 2007","1.523","1.934","0.761","0.669","","","","",""
"Syrian Arab Republic"," 2005","1.558","1.908","0.867","0.729","","","","0.955",""
"Syrian Arab Republic"," 2004","1.465","1.93","0.866","0.72","","","","0.936",""
"Syrian Arab Republic"," 2003","1.414","1.862","0.862","0.625","","","","0.855",""
"Syrian Arab Republic"," 2002","1.475","1.971","0.86","0.592","","","","0.827",""
"Syrian Arab Republic"," 2000","1.37","1.961","0.682","0.542","","","","0.736",""
"Syrian Arab Republic"," 1999","1.339","1.91","0.67","0.513","","","","0.703",""
"Syrian Arab Republic"," 1998","1.342","2.323","0.673","0.51","","","","1.319",""
"Syrian Arab Republic"," 1997","1.299","2.228","0.644","0.478","","","","1.317",""
"Tajikistan"," 2014","1.714","4.729","0.155","","","","","0.021",""
"Tajikistan"," 2013","1.698","","0.16","","","","","0.019",""
"Tajikistan"," 2012","1.715","","0.153","","","","","0.02",""
"Tajikistan"," 2011","1.708","","0.158","","","","","0.021",""
"Tajikistan"," 2010","1.685","","0.163","","","","","0.021",""
"Tajikistan"," 2008","1.917","","","","","","","",""
"Tajikistan"," 2007","1.886","","","","","","","",""
"Tajikistan"," 2006","1.909","","","","","","","",""
"Tajikistan"," 2005","1.95","","","","","","","",""
"Tajikistan"," 2004","1.95","","","","","","","",""
"Tajikistan"," 2003","1.942","","","0.104","","","","",""
"Tajikistan"," 2002","2.047","","","","","","","",""
"Tajikistan"," 2001","2.134","","","","","","","",""
"Tajikistan"," 2000","2.182","","","","","","","",""
"Tajikistan"," 1999","2.127","","","","","","","",""
"Tajikistan"," 1998","2.088","","","","","","","",""
"Tajikistan"," 1991","2.614","","","","","","","",""
"Thailand"," 2010","0.394","2.08","0.258","0.13","","0.566","","0.118",""
"Thailand"," 2009","0.34","1.65","0.213","0.126","0.017","0.411","","0.114",""
"Thailand"," 2008","0.317","1.586","0.198","0.129","0.016","0.406","","0.121",""
"Thailand"," 2007","0.295","1.524","0.19","0.12","0.018","0.46","","0.115",""
"Thailand"," 2006","0.286","1.536","0.189","0.12","0.015","0.449","","0.117",""
"Thailand"," 2004","0.289","1.479","0.063","0.113","","","","",""
"Thailand"," 2002","0.296","1.32","0.07","0.115","","","","",""
"Thailand"," 2001","0.299","1.231","0.068","0.108","","","","",""
"Thailand"," 1999","0.293","1.097","0.065","0.098","","","","",""
"Thailand"," 1998","0.293","1.04","0.064","0.097","","","","",""
"Thailand"," 1997","0.274","0.931","0.056","0.098","","","","",""
"Thailand"," 1995","0.239","0.916","0.049","0.099","","","","",""
"Thailand"," 1993","0.234","0.801","0.048","0.081","","","","",""
"Thailand"," 1991","0.224","0.711","0.042","0.076","","","","",""
"The former Yugoslav republic of Macedonia"," 2013","2.8","4.211","0.823","0.449","","","","0.149",""
"The former Yugoslav republic of Macedonia"," 2012","2.781","","0.798","0.429","","","","0.138",""
"The former Yugoslav republic of Macedonia"," 2011","2.734","","0.785","0.379","","","","0.136",""
"The former Yugoslav republic of Macedonia"," 2010","2.687","","0.775","0.336","","","","0.139",""
"The former Yugoslav republic of Macedonia"," 2009","2.605","","0.692","","","","","6.491","2.454"
"Timor-Leste"," 2011","0.078","1.191","0.043","0.122","0.167","0.084","","0.043","0.575"
"Timor-Leste"," 2010","0.079","1.187","0.042","0.123","0.162","0.084","","0.044","0.581"
"Timor-Leste"," 2009","0.044","1.167","0.038","0.059","0.142","0.078","","0.02","0.576"
"Timor-Leste"," 2008","0.037","1.07","","0.049","0.104","0.069","","0.017","0.525"
"Timor-Leste"," 2007","0.034","1.035","","0.024","0.079","0.05","","0.019","0.491"
"Timor-Leste"," 2004","0.082","1.865","0.047","0.015","0.037","0.023","1.721","0.019","0.191"
"Timor-Leste"," 2001","0.003","0.547","0.012","","0.039","0.024","","0.006","0.106"
"Togo"," 2008","0.058","0.3","0.003","0.002","0.062","0.011","","0.482","0.41"
"Togo"," 2007","0.049","0.42","0.003","0.002","0.071","0.043","","0.263","0.401"
"Togo"," 2004","0.041","0.357","0.004","0.025","0.097","0.053","0.088","0.112","0.246"
"Tonga"," 2012","","","","0.086","","","","",""
"Tonga"," 2010","0.558","3.848","","","","","","",""
"Tonga"," 2009","0.6","3.655","0.358","0.145","0.338","0.358","","1.595","0.483"
"Tonga"," 2008","0.554","3.54","","","","","","",""
"Tonga"," 2003","","","0.231","","","","","",""
"Tonga"," 2002","0.303","3.535","","","","","","",""
"Tonga"," 2001","0.356","3.464","0.335","0.173","","","","",""
"Trinidad and Tobago"," 2007","1.179","3.572","0.225","0.49","","","","0.075",""
"Trinidad and Tobago"," 2006","1.222","3.552","0.218","0.434","","","","0.077",""
"Trinidad and Tobago"," 2003","0.808","3.1","0.194","0.409","","","","0.047",""
"Trinidad and Tobago"," 2002","0.825","2.986","0.172","0.392","","","","0.058",""
"Trinidad and Tobago"," 2001","0.97","2.776","0.171","0.398","","","","0.058",""
"Trinidad and Tobago"," 2000","1.006","2.598","0.156","0.434","","","","0.056",""
"Trinidad and Tobago"," 1999","0.926","2.885","0.149","0.395","","","","0.049",""
"Trinidad and Tobago"," 1998","0.939","2.725","0.15","0.42","","","","0.046",""
"Trinidad and Tobago"," 1997","0.753","2.293","0.127","0.411","","","","0.043",""
"Trinidad and Tobago"," 1996","0.761","2.266","0.112","0.408","","","","0.036",""
"Trinidad and Tobago"," 1995","0.943","2.978","0.107","0.425","","","","0.035",""
"Tunisia"," 2014","1.648","3.189","0.383","0.221","","","","",""
"Tunisia"," 2010","1.222","","0.294","0.304","","","","3.214",""
"Tunisia"," 2009","1.191","3.284","0.24","0.2","","","","",""
"Tunisia"," 2008","1.162","3.296","0.22","0.2","","","","",""
"Tunisia"," 2007","1.025","","","","","","","3.084",""
"Tunisia"," 2006","","","0.182","0.221","","","","3.969",""
"Tunisia"," 2005","0.933","","0.183","0.209","","","","2.931",""
"Tunisia"," 2004","1.331","2.849","0.245","0.29","0.393","0.089","","1.078","1.758"
"Tunisia"," 2003","0.824","2.08","","","","","","",""
"Tunisia"," 2002","0.807","","0.141","0.208","","","","2.902",""
"Tunisia"," 2001","0.794","","0.141","0.204","","","","3.106",""
"Tunisia"," 2000","0.767","","0.136","0.201","","","","2.824",""
"Tunisia"," 1999","0.744","","0.135","0.176","","","","2.817",""
"Tunisia"," 1998","0.718","","0.134","0.171","","","","2.808",""
"Tunisia"," 1997","0.689","","0.128","0.167","","","","2.81",""
"Tunisia"," 1996","0.667","","0.12","0.165","","","","2.823",""
"Tunisia"," 1995","0.654","","0.114","0.164","","","","2.839",""
"Tunisia"," 1994","0.597","","0.113","0.158","","","","2.843",""
"Tunisia"," 1993","0.598","","0.114","0.151","","","","2.879",""
"Tunisia"," 1992","0.593","","0.113","0.155","","","","2.914",""
"Tunisia"," 1991","0.535","","0.096","0.155","","","","2.917",""
"Tunisia"," 1990","0.537","","0.098","0.151","","","","2.884",""
"Turkey"," 2014","1.749","2.519","0.297","0.351","","","","0.041",""
"Turkey"," 2013","1.755","","0.292","0.354","","","","0.039",""
"Turkey"," 2012","1.734","","0.286","0.355","","","","0.035",""
"Turkey"," 2011","1.714","","0.287","0.355","","","","0.031",""
"Turkey"," 2010","1.707","","0.296","0.367","","","","0.029",""
"Turkey"," 2009","1.665","2.169","0.289","0.354","","","","1.313",""
"Turkey"," 2008","1.609","2.098","0.284","0.352","","","","1.273",""
"Turkey"," 2007","1.559","2.04","0.277","0.345","","","","1.143",""
"Turkey"," 2006","1.521","1.85","0.267","0.337","","","","0.983",""
"Turkey"," 2005","1.486","1.794","0.267","0.335","","","","0.914",""
"Turkey"," 2004","1.45","1.777","0.267","0.338","","","","0.91",""
"Turkey"," 2003","1.43","1.758","0.269","0.339","","","","0.869",""
"Turkey"," 2002","1.412","1.748","0.251","0.342","","","","0.769",""
"Turkey"," 2001","1.399","1.781","0.25","0.345","","","","0.826",""
"Turkey"," 2000","1.348","1.757","0.252","0.347","","","","0.82",""
"Turkey"," 1999","1.316","1.791","0.228","0.354","","","","0.691",""
"Turkey"," 1998","1.261","1.798","0.219","0.35","","","","0.676",""
"Turkey"," 1997","1.22","1.78","0.211","0.34","","","","0.657",""
"Turkey"," 1996","1.193","1.74","0.209","0.331","","","","0.657",""
"Turkey"," 1995","1.185","1.774","0.2","0.326","","","","0.587",""
"Turkey"," 1994","1.143","1.595","0.199","0.319","","","","0.535",""
"Turkey"," 1993","1.077","1.596","0.195","0.312","","","","0.507",""
"Turkey"," 1992","1.021","1.533","0.192","0.297","","","","0.433",""
"Turkey"," 1991","0.97","1.48","0.193","0.291","","","","0.434",""
"Turkey"," 1990","0.938","1.396","0.195","0.292","","","","0.399",""
"Turkmenistan"," 2014","2.291","4.56","0.119","0.174","","","","0.018",""
"Turkmenistan"," 2013","2.266","","0.116","0.173","","","","0.016",""
"Turkmenistan"," 2012","2.279","","0.119","0.172","","","","0.017",""
"Turkmenistan"," 2011","2.314","","0.118","0.174","","","","0.018",""
"Turkmenistan"," 2010","2.295","","0.116","0.184","","","","0.018",""
"Turkmenistan"," 2002","4.355","9.426","0.19","0.353","","","","1.706",""
"Tuvalu"," 2009","1.224","","","","","","","",""
"Tuvalu"," 2008","1.022","6.539","0.409","0.204","0.102","1.226","","0.92","0.409"
"Tuvalu"," 2003","1.043","5.214","0.209","0.209","","","","",""
"Tuvalu"," 2002","0.63","4.092","0.21","0.105","","","","",""
"Uganda"," 2012","","","","0.034","","","","",""
"Uganda"," 2005","0.12","1.342","0.016","0.027","","","0.194","0.549","0.11"
"Uganda"," 2004","0.081","0.7","0.013","0.025","0.063","0.038","","0.152","0.234"
"Ukraine"," 2014","3","6.677","0.599","0.034","","","","0.99",""
"Ukraine"," 2013","3.506","","0.685","0.041","","","","1.211",""
"Ukraine"," 2012","3.501","","0.677","0.04","","","","1.24",""
"Ukraine"," 2011","3.495","","0.665","0.039","","","","1.297",""
"Ukraine"," 2010","3.494","","0.66","0.04","","","","1.329",""
"Ukraine"," 2001","","","","0.488","","","","",""
"United Arab Emirates"," 2014","1.558","3.061","0.31","0.368","","","","",""
"United Arab Emirates"," 2011","","2.855","","","","","","",""
"United Arab Emirates"," 2010","1.531","2.925","","","","","","",""
"United Arab Emirates"," 2009","1.558","2.86","","","","","","",""
"United Arab Emirates"," 2008","1.929","3.497","","","","","","",""
"United Arab Emirates"," 2007","1.533","2.884","0.342","0.469","","","","",""
"United Arab Emirates"," 2006","","3.14","","","","","","",""
"United Arab Emirates"," 2005","1.55","3.312","","","","","","",""
"United Arab Emirates"," 2004","","3.612","0.344","0.505","","","","",""
"United Arab Emirates"," 2003","","3.877","","","","","","",""
"United Arab Emirates"," 2002","","3.787","0.25","0.354","","","","",""
"United Arab Emirates"," 2001","1.81","","0.296","0.337","","","","",""
"United Arab Emirates"," 2000","","3.24","","","","","","",""
"United Arab Emirates"," 1999","","3.744","","","","","","",""
"United Arab Emirates"," 1998","","4.495","","","","","","",""
"United Arab Emirates"," 1997","","3.655","","","","","","",""
"United Arab Emirates"," 1996","","3.667","","","","","","",""
"United Arab Emirates"," 1995","","3.68","","","","","","",""
"United Arab Emirates"," 1994","","3.8","","","","","","",""
"United Arab Emirates"," 1993","","3.891","","","","","","",""
"United Arab Emirates"," 1992","","4.069","","","","","","",""
"United Arab Emirates"," 1991","","3.88","","","","","","",""
"United Arab Emirates"," 1990","","2.858","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland"," 2015","2.806","8.436","0.535","0.84","","","","0.416",""
"United Kingdom of Great Britain and Northern Ireland"," 2014","2.806","","0.538","0.828","","","","10.946",""
"United Kingdom of Great Britain and Northern Ireland"," 2013","2.777","","0.532","0.802","","","","10.36",""
"United Kingdom of Great Britain and Northern Ireland"," 2012","2.757","","0.529","0.782","","","","9.7",""
"United Kingdom of Great Britain and Northern Ireland"," 2011","2.745","","0.529","0.761","","","","9.135",""
"United Kingdom of Great Britain and Northern Ireland"," 2010","2.698","","0.517","0.648","","","","0.438",""
"United Kingdom of Great Britain and Northern Ireland"," 1997","2.294","12.172","1.549","0.51","0.344","0.248","","11.182","12.729"
"United Republic of Tanzania"," 2012","0.03","0.428","0.01","0.013","0.047","0.042","","0.686","0.007"
"United Republic of Tanzania"," 2006","0.007","0.234","0.006","","","","","0.169",""
"United Republic of Tanzania"," 2002","0.023","0.371","0.007","0.01","0.042","0.051","","0.838","0.01"
"United States of America"," 2013","2.554","","","","","","","8.229",""
"United States of America"," 2012","2.492","","","","","","","8.377",""
"United States of America"," 2011","2.458","","","","","","","8.478",""
"United States of America"," 2010","2.429","","","0.887","","","","8.645",""
"United States of America"," 2005","","9.884","","","","","","4.977",""
"United States of America"," 2004","2.704","","","","","","","",""
"United States of America"," 2000","2.583","9.437","1.639","0.882","2.301","","","14.629","12.471"
"United States of America"," 1995","2.428","8.919","","","","","","6.598",""
"Uruguay"," 2008","3.938","5.848","0.739","0.56","0.179","","","1.444","0.733"
"Uruguay"," 2002","3.721","0.865","1.183","","","","","",""
"Uzbekistan"," 2014","2.451","11.647","0.153","0.042","","","","1.73",""
"Uzbekistan"," 2013","2.479","","0.164","0.039","","","","1.785",""
"Uzbekistan"," 2012","2.518","","0.165","0.039","","","","1.825",""
"Uzbekistan"," 2011","2.576","","0.173","0.038","","","","1.88",""
"Uzbekistan"," 2010","2.614","","0.169","0.039","","","","1.854",""
"Vanuatu"," 2012","0.186","2.218","0.069","0.117","","","","",""
"Vanuatu"," 2008","0.115","1.686","0.013","0.009","","","0.941","0.257",""
"Vanuatu"," 2007","0.118","1.564","","","","0.045","0.514","1.037","0.255"
"Vanuatu"," 2004","0.147","1.763","","","","","","",""
"Vanuatu"," 1997","0.114","2.446","","","","","","",""
"Venezuela (Bolivarian Republic of)"," 2001","1.925","1.123","0.549","","","","","",""
"Venezuela (Bolivarian Republic of)"," 1997","","0.65","","","","","","",""
"Viet Nam"," 2013","1.18","1.226","","","","","","",""
"Viet Nam"," 2012","1.266","1.274","","","","","","",""
"Viet Nam"," 2011","1.152","1.13","","0.31","","","","",""
"Viet Nam"," 2010","1.127","1.064","","","","","","",""
"Viet Nam"," 2009","1.124","0.968","","","","","","",""
"Viet Nam"," 2008","1.237","1.017","","0.328","","","","",""
"Viet Nam"," 2007","1.208","0.946","","0.31","","","","",""
"Viet Nam"," 2006","1.196","0.876","","0.284","","","","",""
"Viet Nam"," 2005","1.201","0.827","","0.276","","","","",""
"Viet Nam"," 2002","0.549","0.755","","0.294","","","","",""
"Viet Nam"," 2001","0.522","0.73","","0.074","","","","",""
"Yemen"," 2014","0.311","0.757","0.021","0.104","","","","",""
"Yemen"," 2010","","0.703","0.038","0.097","0.165","0.025","0.001","0.315","0.449"
"Yemen"," 2009","0.31","","","","","","","",""
"Yemen"," 2008","0.31","","","","","","","",""
"Yemen"," 2004","0.338","0.69","0.043","0.132","0.236","0.04","0.302","0.23","0.654"
"Yemen"," 1997","0.233","0.405","0.016","0.074","0.074","","","0.23",""
"Zambia"," 2012","0.162","","0.027","0.083","0.046","0.038","","0.332",""
"Zambia"," 2011","0.161","","0.026","0.075","0.042","0.034","","0.322",""
"Zambia"," 2010","0.06","0.714","0.018","0.023","0.039","0.081","","1.025","0.033"
"Zambia"," 2009","0.059","0.703","0.018","0.023","","0.082","","1.09","0.066"
"Zambia"," 2008","0.061","0.693","","","","0.072","0.685","0.12",""
"Zambia"," 2006","0.052","0.676","","","0.045","0.065","","0.132","0.889"
"Zambia"," 2005","0.054","0.695","","","0.035","0.067","0.815","1.029","0.032"
"Zambia"," 2004","0.128","1.877","0.042","0.069","","0.088","","0.284","0.926"
"Zimbabwe"," 2011","0.074","1.194","0.018","0.033","0.047","0.128","","0.089","0.398"
"Zimbabwe"," 2010","0.066","1.219","0.017","0.034","0.045","0.106","","0.094","0.38"
"Zimbabwe"," 2009","0.06","1.215","0.013","0.184","0.038","0.086","","0.104","0.485"
"Zimbabwe"," 2008","0.055","","0.013","0.025","0.043","0.089","","0.108","0.437"
"Zimbabwe"," 2007","0.05","","0.014","0.024","0.036","0.095","","0.101","0.468"
"Zimbabwe"," 2004","0.162","","","0.069","0.071","0.111","","0.103",""
"Zimbabwe"," 1995","0.14","1.491","0.016","0.06","0.064","0.091","","0.01",""
"Zimbabwe"," 1990","0.126","1.447","0.015","0.048","0.032","0.09","","0.005",""
